year,country_id,country_name,eci,export_val,import_val,gdp,gdp_pc_constant,gdp_pc_constant_ppp,gdp_pc_current,gdp_pc_current_ppp
2000,arm,Armenia,,296537905.39,880620452.62,2754946338.5,895.6,2918.56,621.42,2315.95
2001,arm,Armenia,,350304137.84,827790784.16,3018226683.46,986.36,3214.34,692.32,2609.1
2002,arm,Armenia,,502977122.93,1036482253.26,3416219124.68,1121.17,3653.66,779.89,3011.28
2003,arm,Armenia,,737145718.96,1346872550.77,3895883450.64,1283.22,4181.72,924.58,3515.36
2004,arm,Armenia,,746903696.85,1442646956.06,4303698369.46,1422.4,4635.3,1182.1,4003.49
2005,arm,Armenia,,989117073.1,1931108630.36,4900436758.5,1625.4,5296.81,1625.4,4721.56
2006,arm,Armenia,,1172588211.56,2245265900.06,5547196574.1,1847.27,6019.86,2126.09,5531.04
2007,arm,Armenia,,1364164271.83,3226131137.03,6309891834.1,2110.42,6877.38,3079.15,6486.63
2008,arm,Armenia,,1189875934.85,4270519930.23,6745274370.66,2265.42,7382.52,3916.74,7099.1
2009,arm,Armenia,,695036850.49,3252007993.88,5790818813.56,1950.98,6357.83,2913.57,6160.8
2010,arm,Armenia,,1032230168.01,3687687271.94,5918216827.46,1997.04,6507.91,3124.78,6382.57
2011,arm,Armenia,,1343543556.64,4193473194.68,6196373018.35,2090.46,6812.35,3421.7,6812.35
2012,arm,Armenia,,1624666792.15,3822634220.53,6642511875.67,2237.23,7290.64,3353.97,7418.1
2013,arm,Armenia,,1629173651.42,4350990647.07,10432169571.2,2309.71,7526.84,3504.77,7776.29
2014,arm,Armenia,,1623901974.64,4276483515.29,11644438423,2362.46,7698.69,3873.53,8069.72
2015,arm,Armenia,,1656467325.13,3264509692.3,10529182498.3,3796.52,7906.92,3489.13,8418.73
2016,arm,Armenia,,1786711428,3187224283,10547331235.2,3924.93,8174.37,3606.15,8817.95
2000,arm,Armenia,,296537905.39,880620452.62,2754946338.5,895.6,2918.56,621.42,2315.95
2001,arm,Armenia,,350304137.84,827790784.16,3018226683.46,986.36,3214.34,692.32,2609.1
2002,arm,Armenia,,502977122.93,1036482253.26,3416219124.68,1121.17,3653.66,779.89,3011.28
2003,arm,Armenia,,737145718.96,1346872550.77,3895883450.64,1283.22,4181.72,924.58,3515.36
2004,arm,Armenia,,746903696.85,1442646956.06,4303698369.46,1422.4,4635.3,1182.1,4003.49
2005,arm,Armenia,,989117073.1,1931108630.36,4900436758.5,1625.4,5296.81,1625.4,4721.56
2006,arm,Armenia,,1172588211.56,2245265900.06,5547196574.1,1847.27,6019.86,2126.09,5531.04
2007,arm,Armenia,,1364164271.83,3226131137.03,6309891834.1,2110.42,6877.38,3079.15,6486.63
2008,arm,Armenia,,1189875934.85,4270519930.23,6745274370.66,2265.42,7382.52,3916.74,7099.1
2009,arm,Armenia,,695036850.49,3252007993.88,5790818813.56,1950.98,6357.83,2913.57,6160.8
2010,arm,Armenia,,1032230168.01,3687687271.94,5918216827.46,1997.04,6507.91,3124.78,6382.57
2011,arm,Armenia,,1343543556.64,4193473194.68,6196373018.35,2090.46,6812.35,3421.7,6812.35
2012,arm,Armenia,,1624666792.15,3822634220.53,6642511875.67,2237.23,7290.64,3353.97,7418.1
2013,arm,Armenia,,1629173651.42,4350990647.07,10432169571.2,2309.71,7526.84,3504.77,7776.29
2014,arm,Armenia,,1623901974.64,4276483515.29,11644438423,2362.46,7698.69,3873.53,8069.72
2015,arm,Armenia,,1656467325.13,3264509692.3,10529182498.3,3796.52,7906.92,3489.13,8418.73
2016,arm,Armenia,,1786711428,3187224283,10547331235.2,3924.93,8174.37,3606.15,8817.95
